ESPE,ESPE_rc,YEAR,source,FCC,Ocu1,tile_name,coastal_spring,blue_spring,green_spring,red_spring,nir_spring,swir1_spring,swir2_spring,coastal_summer,blue_summer,green_summer,red_summer,nir_summer,swir1_summer,swir2_summer,coastal_summerlong,blue_summerlong,green_summerlong,red_summerlong,nir_summerlong,swir1_summerlong,swir2_summerlong,aspect,dem,shadow,slope,acibasi
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,278.0,283.0,422.66666,321.33334,2121.6667,707.6667,297.66666,278.0,283.0,422.66666,321.33334,2121.6667,707.6667,297.66666,5.711823463439941,911.0,115.0,18.466691970825195,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,333.66666,336.0,465.33334,343.66666,2013.3334,772.3333,393.33334,333.66666,336.0,465.33334,343.66666,2013.3334,772.3333,393.33334,320.0224304199219,838.0,80.0,26.828096389770508,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,316.33334,318.66666,444.33334,342.66666,1980.3334,727.3333,346.66666,316.33334,318.66666,444.33334,342.66666,1980.3334,727.3333,346.66666,309.6360778808594,886.0,117.0,24.651599884033203,1.0
4.0,4,2009.0,Digitized,,,p11_1,79.0,43.0,179.0,113.0,1934.5,567.0,275.5,429.0,452.0,613.5,455.0,2666.5,977.0,423.0,429.0,452.0,613.5,455.0,2666.5,977.0,423.0,46.14672088623047,915.0,140.0,15.849974632263184,1.0
4.0,4,2009.0,Digitized,,,p11_1,48.0,46.0,251.0,168.0,2086.0,676.0,338.0,828.0,904.5,1127.5,985.0,3061.0,1600.5,898.0,828.0,904.5,1127.5,985.0,3061.0,1600.5,898.0,57.445926666259766,976.0,141.0,18.572385787963867,1.0
4.0,4,2009.0,Digitized,,,p11_1,61.0,53.0,221.0,136.0,2315.0,816.0,383.0,505.0,535.3333,711.3333,570.0,2635.0,1141.0,559.6667,505.0,535.3333,711.3333,570.0,2635.0,1141.0,559.6667,38.49613952636719,914.0,114.0,22.27622413635254,1.0
4.0,4,2009.0,Digitized,,,p11_1,91.0,56.0,214.0,242.0,2225.0,1078.0,636.0,261.0,261.0,474.0,406.0,2626.0,1205.0,673.0,261.0,261.0,474.0,406.0,2626.0,1205.0,673.0,354.7192077636719,916.0,97.0,22.892616271972656,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,357.66666,378.0,562.6667,431.33334,2513.6667,1034.0,486.0,357.66666,378.0,562.6667,431.33334,2513.6667,1034.0,486.0,32.678070068359375,881.0,107.0,20.396312713623047,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,372.33334,376.0,517.3333,384.0,2640.6667,963.3333,436.66666,372.33334,376.0,517.3333,384.0,2640.6667,963.3333,436.66666,12.586158752441406,890.0,102.0,22.107471466064453,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,371.0,370.0,467.33334,390.0,1966.3334,861.0,391.0,371.0,370.0,467.33334,390.0,1966.3334,861.0,391.0,-12.351564407348633,955.0,108.0,20.161401748657227,1.0
4.0,4,2009.0,Digitized,,,p11_1,68.0,53.0,156.0,138.0,2114.0,852.0,312.0,395.5,404.5,531.0,389.5,2016.0,736.0,382.0,395.5,404.5,531.0,389.5,2016.0,736.0,382.0,8.786331176757812,1018.0,106.0,20.870912551879883,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,362.5,381.5,538.0,391.0,2042.5,710.0,341.0,362.5,381.5,538.0,391.0,2042.5,710.0,341.0,351.3794250488281,1042.0,108.0,20.30433464050293,1.0
